date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:22	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Oct%202022%2012:37:18%20GMT	https://smartminer.online/robots.txt		(from )
14:37:22	15542/15542	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:37:18%20GMT	https://smartminer.online/	D:/Smart/smartminer.online/index.html	(from )
14:37:23	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	D:/Smart/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://smartminer.online/)
14:37:23	2892/2892	---M--	200	added ('OK')	image/png	etag:%22b4c-5baf90806ab40%22	https://smartminer.online/ico.png	D:/Smart/smartminer.online/ico.png	(from https://smartminer.online/)
14:37:23	276550/276550	---M--	200	added ('OK')	image/jpeg	etag:%2243846-5e90311148697%22	https://smartminer.online/img/fon1.jpg	D:/Smart/smartminer.online/img/fon1.jpg	(from https://smartminer.online/)
14:37:23	45451/45451	---M--	200	added ('OK')	image/gif	etag:%22b18b-5e89ee2ce5388%22	https://smartminer.online/telegram.gif	D:/Smart/smartminer.online/telegram.gif	(from https://smartminer.online/)
14:37:24	52558/52558	---M--	200	added ('OK')	image/jpeg	etag:%22cd4e-5e903225d2270%22	https://smartminer.online/img/smart_dep.jpg	D:/Smart/smartminer.online/img/smart_dep.jpg	(from https://smartminer.online/)
14:37:24	19714/19714	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:37:20%20GMT	https://smartminer.online/pravila	D:/Smart/smartminer.online/pravila.html	(from https://smartminer.online/)
14:37:24	14848/14848	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:37:20%20GMT	https://smartminer.online/faq	D:/Smart/smartminer.online/faq.html	(from https://smartminer.online/)
14:37:24	13652/13652	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:37:20%20GMT	https://smartminer.online/kontakt	D:/Smart/smartminer.online/kontakt.html	(from https://smartminer.online/)
14:37:25	201/201	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Oct%202022%2012:37:21%20GMT	https://smartminer.online/GET	D:/Smart/smartminer.online/GET	(from https://smartminer.online/)
14:37:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Oct%202022%2012:37:21%20GMT	http://www.chatbro.com/embed.js?	D:/Smart/www.chatbro.com/embed.9d41d.delayed	(from https://smartminer.online/)
14:37:25	0/-1	---M--	301	error ('')			http://www.chatbro.com/embed.js?	D:/Smart/www.chatbro.com/embed.ad41d.delayed	(from https://smartminer.online/pravila)
14:37:25	0/-1	---M--	301	error ('')			http://www.chatbro.com/embed.js?	D:/Smart/www.chatbro.com/embed.bd41d.delayed	(from https://smartminer.online/faq)
14:37:26	4693/4693	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:37:21%20GMT	https://smartminer.online/cdn-cgi/l/email-protection	D:/Smart/smartminer.online/cdn-cgi/l/email-protection.html	(from https://smartminer.online/kontakt)
14:37:26	0/-1	---M--	301	error ('')			http://www.chatbro.com/embed.js?	D:/Smart/www.chatbro.com/embed.ed41d.delayed	(from https://smartminer.online/kontakt)
14:37:26	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634ec5bc-4d7%22	https://smartminer.online/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/Smart/smartminer.online/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://smartminer.online/kontakt)
